GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00811538018951,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Blood Orange Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Blood Orange Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538014557,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Spicy Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Spicy Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538010399,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Pineapple Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Pineapple Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538019156,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Original Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Original Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00089826230600,"Cuauhtemoc Moctezuma Brewery, Monterrey, Mexico",Dos Equis,24.0,oz,"Dos Equis Ranch Water Hard Seltzer Classic Lime, Single 24 fl oz Can","Dos Equis Ranch Water Hard Seltzer Classic Lime, Single 24 fl oz Can",Ranch Water Hard Seltzer,EACH,1,4.5,,USA,"Punch, Cocktail & Premix"
00082184203088,Jack Daniel's,Jack Daniel's Country Cocktail Malt Southern Peach,6.0,PK,"Jack Daniel's Country Cocktails Southern Peach, 6 Pack, 10 fl oz Bottles",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,6,4.8,,USA,"Punch, Cocktail & Premix"
00092000021901,Pabst Brewing Company,Not Your Father's Soda Pop Variety Pack,12.0,PK,"Not Your Father's Hard Soda Pop Variety Pack, 12 pack, 12 fl oz Cans",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,12,5.0,,USA,"Punch, Cocktail & Premix"
00082184226032,Jack Daniel's,Jack Daniel's Country Cocktail Malt Watermelon Punch,6.0,PK,"Jack Daniel's Country Cocktails Watermelon Punch, 6 Pack, 10 fl oz Bottles",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,6,4.8,,USA,"Punch, Cocktail & Premix"
00082184204160,Jack Daniel's,Jack Daniel's Country Cocktail Malt Southern Citrus,6.0,PK,"Jack Daniel's Country Cocktails Southern Citrus, 6 Pack, 10 fl oz Bottles",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,6,4.8,,USA,"Punch, Cocktail & Premix"
00082184226018,Jack Daniel's,Jack Daniel's Country Cocktail Malt Downhome Punch,6.0,PK,"Jack Daniel's Country Cocktails Downhome Punch, 6 Pack, 10 fl oz Bottles",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,6,4.8,,USA,"Punch, Cocktail & Premix"
00082184226049,Jack Daniel's,Jack Daniel's Country Cocktail Malt Berry Punch,6.0,PK,"Jack Daniel's Country Cocktails Berry Punch, 6 Pack, 10 fl oz Bottles",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,6,4.8,,USA,"Punch, Cocktail & Premix"
00082184226025,Jack Daniel's,Jack Daniel's Country Cocktail Malt Lynchburg Lemonade,6.0,PK,"Jack Daniel's Country Cocktails Lynchburg Lemonade, 6 Pack, 10 fl oz Bottles",FLAVORED MALT BEVERAGE,Flavored Malt Beverage,EACH,6,4.8,,USA,"Punch, Cocktail & Premix"
00088004041977,Sazerac Company Inc.,Parrot Bay,100.0,mL,Parrot Bay Coconut Malt Beverage 100ml Plastic Bottle 32 Proof,PrBy Coco Malt 100ml Plstc Btl 32Pf,Flavored Malt Beverage,EACH,1,16.0,,USA,"Punch, Cocktail & Premix"
00088004042004,Sazerac Company Inc.,Parrot Bay,100.0,mL,Parrot Bay Pineapple Malt Beverage 100ml Plastic Bottle 32 Proof,PrBy Pnap Malt 100ml Plstc Btl 32Pf,Flavored Malt Beverage,EACH,1,16.0,,USA,"Punch, Cocktail & Premix"
00818844022993,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Peach Lemonade Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Peach Lemonade Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538016919,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Authentic Margarita White Peach Light Ready to Drink Cocktail - 200 ml,Jose Cuervo® Authentic Margarita White Peach Light Ready to Drink Cocktail - 200 ml,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538011082,Proximo Spirits Inc,Jose Cuervo®,750.0,mL,Jose Cuervo® Authentic Margarita Classic Lime Light Ready to Drink Cocktail - 750 ml,Jose Cuervo® Authentic Margarita Classic Lime Light Ready to Drink Cocktail - 750 ml,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538016971,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Authentic Margarita Grapefruit Tangerine Ready to Drink Cocktail - 4-200 ml,Jose Cuervo® Authentic Margarita Grapefruit Tangerine Ready to Drink Cocktail - 4-200 ml,,EACH,4,9.95,,USA,"Punch, Cocktail & Premix"
00818844020142,Proximo Spirits Inc,Jose Cuervo®,355.0,mL,Jose Cuervo® Sparkling Margarita Paloma Ready to Drink Cocktail - 4-355 ml,Jose Cuervo® Sparkling Margarita Paloma Ready to Drink Cocktail - 4-355 ml,,EACH,4,8.0,,USA,"Punch, Cocktail & Premix"
00811538013758,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Golden Margarita Grapefruit Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Golden Margarita Grapefruit Ready to Drink Cocktail - 1.75 L,,EACH,1,12.7,,USA,"Punch, Cocktail & Premix"
00811538019026,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Cherry Limeade Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Cherry Limeade Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
